FREQ;GEO;UNIT;AID_INSTR\TIME_PERIOD;2000 ;2001 ;2002 ;2003 ;2004 ;2005 ;2006 ;2007 ;2008 ;2009 ;2010 ;2011 ;2012 ;2013 ;2014 ;2015 ;2016 ;2017 
A;AT;PC_TOT;EQUIT;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.5 ;4.4 ;0 ;0.2 ;0.2 ;0 ;0 
A;BE;PC_TOT;EQUIT;0 ;0 ;0 ;0.1 ;0.1 ;17.8 ;0.4 ;0.5 ;0.5 ;0.4 ;0.5 ;7.4 ;0.8 ;0.6 ;0.5 ;0.5 ;0.3 ;7.5 
A;BG;PC_TOT;EQUIT;0 ;0 ;0 ;11.4 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
A;CY;PC_TOT;EQUIT;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
A;CZ;PC_TOT;EQUIT;3.2 ;14.9 ;5.7 ;0.9 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
A;DE;PC_TOT;EQUIT;1.7 ;11.2 ;1 ;0.9 ;0.4 ;0.3 ;0.2 ;0.2 ;0.2 ;0.1 ;0.2 ;0.2 ;0.2 ;0.3 ;0.1 ;0.1 ;0.1 ;0.1 
A;DK;PC_TOT;EQUIT;0 ;0 ;0 ;0 ;7.8 ;0 ;0 ;0 ;0 ;0 ;0.4 ;0.5 ;0.4 ;0.5 ;0.6 ;0.4 ;0.4 ;0.3 
A;EE;PC_TOT;EQUIT;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;3.5 ;2.8 ;0.7 ;0.2 ;0.2 ;0 ;0 ;0 ;0 
A;EL;PC_TOT;EQUIT;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;2.3 ;0 ;0 ;0 ;0.2 ;2.6 ;3.8 ;13.5 ;0 
A;ES;PC_TOT;EQUIT;23.6 ;0.1 ;0.3 ;0 ;0.4 ;0.6 ;0.1 ;0.1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
A;EU28;PC_TOT;EQUIT;4.2 ;4.4 ;0.8 ;1.3 ;1.2 ;1.1 ;0.2 ;0.4 ;0.5 ;1.6 ;1.1 ;0.7 ;0.8 ;0.9 ;0.7 ;0.8 ;0.5 ;0.4 
A;FI;PC_TOT;EQUIT;0.9 ;1 ;1.1 ;0.8 ;0.9 ;0.7 ;0.4 ;0.1 ;0.1 ;2.3 ;1.9 ;1.2 ;1.2 ;1.7 ;0.3 ;1 ;0.8 ;0.4 
A;FR;PC_TOT;EQUIT;0 ;0 ;0.5 ;1.6 ;0.4 ;3 ;0.1 ;0 ;0 ;0.2 ;0.1 ;0.1 ;1.1 ;1.3 ;0.3 ;0.6 ;0.7 ;0.7 
A;HR;PC_TOT;EQUIT;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
A;HU;PC_TOT;EQUIT;0 ;0 ;0 ;0.4 ;1 ;1 ;0.7 ;0.6 ;0.1 ;1.3 ;7.2 ;0.8 ;0.7 ;0.8 ;9.2 ;7.9 ;0.1 ;0.9 
A;IE;PC_TOT;EQUIT;2.9 ;3.6 ;1.2 ;1.3 ;1.3 ;0.9 ;0.7 ;0.7 ;0.6 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
A;IT;PC_TOT;EQUIT;1.8 ;0.9 ;0.2 ;0.4 ;0.5 ;0 ;0.3 ;0.4 ;0.1 ;0.4 ;0.2 ;1 ;0 ;2.6 ;0.7 ;2.6 ;2.2 ;0 
A;LT;PC_TOT;EQUIT;0.1 ;0 ;0 ;6.4 ;14.2 ;0 ;0 ;0 ;0 ;0 ;0 ;2.7 ;6.7 ;3.2 ;9.5 ;2.5 ;1.1 ;0.3 
